dataset,k,ks_min,persist,refractory,recall,precision,median_latency,n_agg_onsets,n_false_trigger
synth_abrupt,1,0.0000,1,0,1.0000,0.5000,125.0,32,16
synth_abrupt,1,0.0000,1,2000,1.0000,0.5000,125.0,2,1
synth_abrupt,1,0.0000,3,0,1.0000,0.4667,375.0,30,16
synth_abrupt,1,0.0000,3,2000,1.0000,0.5000,375.0,2,1
synth_abrupt,1,0.1000,1,0,1.0000,0.4483,500.0,29,16
synth_abrupt,1,0.1000,1,2000,1.0000,0.5000,500.0,2,1
synth_abrupt,1,0.1000,3,0,1.0000,0.4074,750.0,27,16
synth_abrupt,1,0.1000,3,2000,1.0000,0.5000,750.0,2,1
synth_abrupt,1,0.2000,1,0,0.0000,,,0,0
synth_abrupt,1,0.2000,1,2000,0.0000,,,0,0
synth_abrupt,1,0.2000,3,0,0.0000,,,0,0
synth_abrupt,1,0.2000,3,2000,0.0000,,,0,0
synth_abrupt,2,0.0000,1,0,1.0000,0.5000,125.0,32,16
synth_abrupt,2,0.0000,1,2000,1.0000,0.5000,125.0,2,1
synth_abrupt,2,0.0000,3,0,1.0000,0.4667,375.0,30,16
synth_abrupt,2,0.0000,3,2000,1.0000,0.5000,375.0,2,1
synth_abrupt,2,0.1000,1,0,1.0000,0.4074,750.0,27,16
synth_abrupt,2,0.1000,1,2000,1.0000,0.5000,750.0,2,1
synth_abrupt,2,0.1000,3,0,1.0000,0.3600,1000.0,25,16
synth_abrupt,2,0.1000,3,2000,1.0000,0.5000,1000.0,2,1
synth_abrupt,2,0.2000,1,0,0.0000,,,0,0
synth_abrupt,2,0.2000,1,2000,0.0000,,,0,0
synth_abrupt,2,0.2000,3,0,0.0000,,,0,0
synth_abrupt,2,0.2000,3,2000,0.0000,,,0,0
synth_abrupt,3,0.0000,1,0,1.0000,0.5000,125.0,32,16
synth_abrupt,3,0.0000,1,2000,1.0000,0.5000,125.0,2,1
synth_abrupt,3,0.0000,3,0,1.0000,0.4667,375.0,30,16
synth_abrupt,3,0.0000,3,2000,1.0000,0.5000,375.0,2,1
synth_abrupt,3,0.1000,1,0,1.0000,0.4074,750.0,27,16
synth_abrupt,3,0.1000,1,2000,1.0000,0.5000,750.0,2,1
